X,Y,crash_datetime,crash_month
-93.6732569182743,42.0236744192482,2021/05/01 23:23:00+00,5
-93.6251768276162,42.0083469609818,2021/05/03 15:23:00+00,5
-93.6137956183658,42.0278806186797,2021/04/21 15:06:00+00,4
-93.5906081796117,42.0063414244791,2021/04/21 15:35:00+00,4
-93.6890451074331,42.0159161370031,2021/04/24 15:20:00+00,4
-93.6202221481264,42.0229104708174,2021/04/28 15:55:00+00,4
-93.6562881962112,42.0227369412039,2021/04/28 22:14:00+00,4
-93.6555875661716,42.0227319385107,2021/04/29 16:26:00+00,4
-93.6253795114913,42.0228734805858,2021/04/28 16:34:00+00,4
-93.6336522005302,42.0458398589569,2021/04/29 08:10:00+00,4
-93.6122581778407,42.0010942235919,2021/05/07 11:56:00+00,5
-93.6616153459357,42.0227694043387,2021/05/08 10:07:00+00,5
-93.6616153459357,42.0227694043387,2021/05/08 10:07:00+00,5
-93.6103319216171,42.0193788675028,2021/05/08 12:08:00+00,5
-93.6424057570885,42.0391623826967,2021/04/27 11:10:00+00,4
-93.6589543278297,42.01188675342,2021/05/01 15:15:00+00,5
-93.6103231822176,42.0209910921261,2021/05/04 14:15:00+00,5
-93.6234125807842,42.0539747949181,2021/05/04 17:23:00+00,5
-93.5839579929827,42.034457983569,2021/05/05 15:27:00+00,5
-93.610871012303,42.0201775855876,2021/05/05 18:32:00+00,5
-93.619911957076,42.0083845213371,2021/05/01 12:45:00+00,5
-93.6203911173959,42.0340777009185,2021/03/11 15:23:00+00,3
-93.5953265888148,42.0059928126443,2021/03/13 14:18:00+00,3
-93.6713960411957,42.022460426345,2021/02/13 22:36:00+00,2
-93.6100939630802,42.0083830840517,2021/02/14 12:44:00+00,2
-93.575298654628,42.0146782285015,2021/02/12 13:25:00+00,2
-93.6204450096075,42.0421022476122,2021/02/12 14:32:00+00,2
-93.6101969783919,41.9951518255658,2021/02/13 04:31:00+00,2
-93.6202239898397,42.026828320037,2021/02/13 10:37:00+00,2
-93.6203660747006,42.0327448654718,2021/02/13 14:59:00+00,2
-93.6103596552097,42.022278839069,2021/02/13 15:20:00+00,2
-93.6276089062751,42.034623886706,2021/02/11 14:50:00+00,2
-93.6103389180413,42.0188474418723,2021/05/06 13:40:00+00,5
-93.5864999369773,42.0073892417408,2021/06/07 10:44:00+00,6
-93.6713912090356,42.0220011196763,2021/06/10 10:17:00+00,6
-93.6448104962094,42.0392029372193,2021/05/06 16:20:00+00,5
-93.6591509220213,42.0227385503407,2021/03/29 19:00:00+00,3
-93.6112669022101,42.0312445563285,2021/03/30 16:38:00+00,3
-93.6110868901021,42.0010914582944,2021/03/30 17:35:00+00,3
-93.6393896853637,41.9974067084298,2021/04/01 16:12:00+00,4
-93.6783278982998,42.0120981366304,2021/04/01 18:00:00+00,4
-93.644860702325,42.0453631293383,2021/04/01 21:05:00+00,4
-93.6073903465194,42.0174220287677,2021/04/05 16:00:00+00,4
-93.6112473195597,42.0228955693148,2021/04/06 16:16:00+00,4
-93.6556359044381,42.0333143720057,2021/03/24 18:06:00+00,3
-93.6101199215866,42.0085720846826,2021/03/25 17:11:00+00,3
-93.6226517105852,42.0267971628269,2021/03/28 15:29:00+00,3
-93.6106823780153,42.0345440694934,2021/04/03 12:10:00+00,4
-93.6104419975043,42.0258359986277,2021/04/05 12:28:00+00,4
-93.625880742923,42.0456483316621,2021/04/05 13:14:00+00,4
-93.6449012539574,42.0565400023975,2021/03/25 17:40:00+00,3
-93.6203764375831,42.0511992225474,2021/03/29 14:59:00+00,3
-93.6268017466901,42.022559499277,2021/05/17 13:15:00+00,5
-93.625880742923,42.0456483316621,2021/04/23 14:21:00+00,4
-93.6235248910741,42.0456881741087,2021/04/19 07:50:00+00,4
-93.629665836656,42.0092320905435,2021/04/15 20:35:00+00,4
-93.6333390332861,42.0228208311265,2021/04/18 18:36:00+00,4
-93.6536792971399,42.0227518285383,2021/04/09 19:51:00+00,4
-93.6513710097916,42.0214499916067,2021/04/09 21:15:00+00,4
-93.6122015968386,42.0228994901145,2021/04/06 15:30:00+00,4
-93.6394140821341,42.0070796657593,2021/04/06 17:15:00+00,4
-93.5991081554704,42.0344969888728,2021/04/06 17:22:00+00,4
-93.6408080394983,42.0208339558338,2021/05/02 12:00:00+00,5
-93.6786540504706,42.0121052153384,2021/05/07 21:02:00+00,5
-93.6153950485022,42.0258816023405,2021/05/22 13:05:00+00,5
-93.633743959132,42.0562869266659,2021/05/24 09:33:00+00,5
-93.610307594181,42.0143082883342,2021/04/17 13:40:00+00,4
-93.616912307465,42.0216403672265,2021/06/10 19:11:00+00,6
-93.6584623701885,42.0227334958356,2021/06/11 14:15:00+00,6
-93.6477020574251,42.0288831586371,2021/05/25 13:30:00+00,5
-93.5911391584387,42.0063026648465,2021/06/11 17:32:00+00,6
-93.5962685421559,42.0344397233028,2021/05/25 15:45:00+00,5
-93.6337822182395,42.0114971108749,2021/06/18 09:29:00+00,6
-93.6104468690765,42.0010858570435,2021/05/21 17:50:00+00,5
-93.6089419598854,42.0332023322356,2021/06/03 08:23:00+00,6
-93.5408882035456,42.0230145155798,2021/05/12 13:00:00+00,5
-93.6267083670141,42.019200555633,2021/05/07 20:42:00+00,5
-93.6343009875063,42.0345330594373,2021/06/11 11:30:00+00,6
-93.6448567860176,42.0449758702632,2021/06/11 08:26:00+00,6
-93.6202221481264,42.0229104708174,2021/06/11 10:55:00+00,6
-93.5408888905511,42.0230955716433,2021/06/11 12:25:00+00,6
-93.6444269884568,42.0227681212263,2021/06/11 12:52:00+00,6
